producto_id,user_id,tipo_producto,fecha_apertura,estatus,limite_credito,saldo_actual,utilizacion_pct,tasa_interes_anual,plazo_meses,monto_mensualidad,fecha_ultimo_movimiento,antiguedad_dias,dias_sin_movimiento,ratio_deuda,es_inactivo,carga_mensual_ratio
PRD-00000002,USR-00001,tarjeta_credito_hey,2022-10-16,activo,144000.0,88790.4,0.6166,35.71,,,2025-09-17,1287,220,0.6165999999999999,1,
PRD-00000004,USR-00002,tarjeta_credito_hey,2025-07-18,activo,22000.0,6122.6,0.2783,34.08,,,2025-09-15,281,222,0.2783,1,
PRD-00000006,USR-00003,tarjeta_credito_hey,2024-04-24,activo,5000.0,1545.5,0.3091,39.88,,,2025-10-15,731,192,0.3091,1,
PRD-00000009,USR-00004,tarjeta_credito_hey,2023-04-03,activo,67000.0,23704.6,0.3538,38.19,,,2025-11-02,1118,174,0.3538,1,
PRD-00000011,USR-00005,tarjeta_credito_hey,2024-04-09,activo,136000.0,86033.6,0.6326,30.95,,,2025-11-21,746,155,0.6326,1,
PRD-00000013,USR-00006,tarjeta_credito_hey,2023-05-12,activo,73000.0,15132.9,0.2073,41.43,,,2025-11-20,1079,156,0.2072999999999999,1,
PRD-00000015,USR-00007,tarjeta_credito_hey,2024-04-12,activo,97000.0,16664.6,0.1718,40.88,,,2025-09-05,743,232,0.1717999999999999,1,
PRD-00000016,USR-00007,credito_nomina,2025-11-01,activo,11000.0,3529.9,0.3209,18.98,12.0,325.27,2025-09-21,175,216,0.3209,1,0.0921470863197257
PRD-00000019,USR-00008,tarjeta_credito_hey,2024-03-29,activo,52000.0,20066.8,0.3859,30.06,,,2025-09-03,757,234,0.3858999999999999,1,
PRD-00000021,USR-00009,credito_nomina,2025-11-19,activo,63000.0,30416.4,0.4828,20.8,12.0,2829.27,2025-09-14,157,223,0.4828,1,0.093017911389908
PRD-00000027,USR-00012,tarjeta_credito_hey,2024-09-07,activo,27000.0,25874.1,0.9583,36.54,,,2025-10-02,595,205,0.9583,1,
PRD-00000028,USR-00012,credito_personal,2024-04-02,activo,30000.0,26958.0,0.8986,26.04,18.0,1825.14,2025-11-21,753,155,0.8986,1,0.0677030937013131
PRD-00000030,USR-00013,credito_nomina,2024-07-21,activo,38000.0,10552.6,0.2777,25.07,6.0,1889.58,2025-09-11,643,226,0.2777,1,0.1790629797395902
PRD-00000032,USR-00014,tarjeta_credito_hey,2023-10-04,activo,140000.0,24752.0,0.1768,29.81,,,2025-11-07,934,169,0.1768,1,
PRD-00000033,USR-00014,credito_nomina,2021-09-26,activo,49000.0,15939.7,0.3253,27.49,24.0,870.77,2025-09-14,1672,223,0.3253,1,0.0546290080741795
PRD-00000035,USR-00015,credito_nomina,2025-11-21,activo,6000.0,1600.8,0.2668,24.06,6.0,285.83,2025-10-26,155,181,0.2668,1,0.1785544727636182
PRD-00000038,USR-00016,tarjeta_credito_hey,2023-12-17,activo,51000.0,26183.4,0.5134,43.15,,,2025-09-07,860,230,0.5134000000000001,1,
PRD-00000039,USR-00016,credito_nomina,2023-10-09,activo,42000.0,20286.0,0.483,21.53,12.0,1894.07,2025-10-27,929,180,0.483,1,0.0933683328403825
PRD-00000043,USR-00017,tarjeta_credito_hey,2025-06-13,activo,25000.0,8622.5,0.3449,38.82,,,2025-10-06,316,201,0.3449,1,
PRD-00000045,USR-00018,tarjeta_credito_hey,2023-11-19,activo,15000.0,4659.0,0.3106,29.41,,,2025-08-31,888,237,0.3106,1,
PRD-00000046,USR-00018,credito_nomina,2025-08-11,activo,53000.0,16043.1,0.3027,23.13,12.0,1510.28,2025-09-07,257,230,0.3027,1,0.0941389133022919
PRD-00000050,USR-00020,tarjeta_credito_hey,2022-09-11,activo,47000.0,2646.1,0.0563,42.55,,,2025-09-12,1322,225,0.0562999999999999,1,
PRD-00000056,USR-00023,credito_nomina,2022-10-30,activo,7000.0,3770.2,0.5386,29.77,18.0,262.24,2025-11-25,1273,151,0.5386,1,0.0695559917245769
PRD-00000060,USR-00024,tarjeta_credito_hey,2025-10-03,activo,44000.0,4809.2,0.1093,37.23,,,2025-10-25,204,182,0.1093,1,
PRD-00000062,USR-00024,credito_auto,2024-06-14,activo,167000.0,11523.0,0.069,19.94,48.0,350.28,2025-11-16,680,160,0.069,1,0.0303983337672481
PRD-00000064,USR-00025,credito_nomina,2025-08-29,activo,35000.0,15669.5,0.4477,29.66,24.0,873.39,2025-11-02,239,174,0.4477,1,0.0557382175563993
PRD-00000067,USR-00026,tarjeta_credito_hey,2025-07-07,activo,73000.0,40434.7,0.5539,45.3,,,2025-11-18,292,158,0.5539,1,
PRD-00000070,USR-00028,tarjeta_credito_hey,2025-06-23,activo,135000.0,90085.5,0.6673,29.93,,,2025-08-30,306,238,0.6673,1,
PRD-00000073,USR-00029,tarjeta_credito_negocios,2025-06-15,activo,377000.0,206633.7,0.5481,51.37,,,2025-10-06,314,201,0.5481,1,
PRD-00000074,USR-00029,credito_personal,2025-09-26,activo,49000.0,5130.3,0.1047,43.42,36.0,257.16,2025-09-25,211,212,0.1047,1,0.0501257236418922
PRD-00000076,USR-00030,tarjeta_credito_hey,2025-03-07,cancelado,49000.0,32683.0,0.667,31.7,,,2025-10-09,414,198,0.667,1,
PRD-00000079,USR-00031,credito_personal,2023-09-26,revision_de_pagos,38000.0,36582.6,0.9627,43.88,36.0,1843.77,2025-10-01,942,206,0.9627,1,0.0504001902543832
PRD-00000082,USR-00032,tarjeta_credito_hey,2024-08-07,activo,114000.0,9576.0,0.084,42.5,,,2025-10-19,626,188,0.084,1,
PRD-00000084,USR-00033,tarjeta_credito_hey,2025-06-12,activo,86000.0,69032.2,0.8027,41.31,,,2025-09-23,317,214,0.8027,1,
PRD-00000090,USR-00035,tarjeta_credito_hey,2025-11-12,activo,72000.0,11340.0,0.1575,41.12,,,2025-09-04,164,233,0.1575,1,
PRD-00000092,USR-00036,tarjeta_credito_hey,2025-03-13,activo,138000.0,54855.0,0.3975,39.58,,,2025-11-19,408,157,0.3975,1,
PRD-00000093,USR-00036,credito_nomina,2024-03-21,activo,68000.0,28220.0,0.415,33.88,24.0,1634.77,2025-10-12,765,195,0.415,1,0.057929482636428
PRD-00000096,USR-00037,tarjeta_credito_hey,2024-06-25,cancelado,15000.0,3661.5,0.2441,45.14,,,2025-11-02,669,174,0.2441,1,
PRD-00000098,USR-00038,credito_nomina,2024-03-01,activo,66000.0,28452.6,0.4311,32.62,18.0,2019.8,2025-09-20,785,217,0.4311,1,0.0709882400905365
PRD-00000103,USR-00040,tarjeta_credito_hey,2025-10-17,suspendido,32000.0,2796.8,0.0874,43.12,,,2025-10-20,190,187,0.0874,1,
PRD-00000105,USR-00041,tarjeta_credito_hey,2024-10-19,activo,108000.0,24040.8,0.2226,29.72,,,2025-09-27,553,210,0.2226,1,
PRD-00000107,USR-00042,credito_personal,2022-04-17,activo,44000.0,32159.6,0.7309,45.88,36.0,1659.45,2025-10-03,1469,204,0.7309,1,0.0516004552295426
PRD-00000110,USR-00043,tarjeta_credito_negocios,2023-10-16,activo,242000.0,83127.0,0.3435,41.61,,,2025-10-30,922,177,0.3435,1,
PRD-00000112,USR-00044,tarjeta_credito_hey,2025-09-21,activo,57000.0,31298.7,0.5491,30.27,,,2025-11-23,216,153,0.5491,1,
PRD-00000115,USR-00046,tarjeta_credito_hey,2023-09-09,activo,144000.0,31046.4,0.2156,38.45,,,2025-09-08,959,229,0.2156,1,
PRD-00000118,USR-00047,tarjeta_credito_hey,2022-11-23,activo,114000.0,31099.2,0.2728,41.84,,,2025-10-22,1249,185,0.2728,1,
PRD-00000119,USR-00047,credito_nomina,2023-04-15,activo,7000.0,1887.2,0.2696,23.46,18.0,125.38,2025-09-19,1106,218,0.2696,1,0.0664370495972869
PRD-00000123,USR-00048,tarjeta_credito_hey,2025-03-23,activo,61000.0,5978.0,0.098,40.18,,,2025-10-24,398,183,0.098,1,
PRD-00000124,USR-00048,credito_auto,2025-01-20,activo,339000.0,110344.5,0.3255,14.43,24.0,5320.4,2025-09-03,460,234,0.3255,1,0.048216268142046
PRD-00000128,USR-00050,tarjeta_credito_negocios,2025-03-13,activo,169000.0,26752.7,0.1583,43.29,,,2025-09-08,408,229,0.1583,1,
PRD-00000129,USR-00050,credito_auto,2025-09-30,activo,170000.0,68187.0,0.4011,15.72,36.0,2387.84,2025-10-10,207,197,0.4011,1,0.0350189918899497
PRD-00000132,USR-00051,tarjeta_credito_negocios,2023-10-21,cancelado,300000.0,107910.0,0.3597,41.85,,,2025-11-18,917,158,0.3597,1,
PRD-00000134,USR-00052,tarjeta_credito_garantizada,2023-12-05,activo,15000.0,3133.5,0.2089,58.85,,,2025-10-28,872,179,0.2089,1,
PRD-00000136,USR-00053,tarjeta_credito_garantizada,2023-11-14,cancelado,17000.0,4909.6,0.2888,43.26,,,2025-09-02,893,235,0.2888,1,
PRD-00000138,USR-00054,tarjeta_credito_hey,2023-12-24,activo,78000.0,33664.8,0.4316,37.93,,,2025-10-21,853,186,0.4316,1,
PRD-00000139,USR-00054,credito_nomina,2023-05-08,activo,9000.0,1618.2,0.1798,24.17,24.0,85.69,2025-11-10,1083,166,0.1798,1,0.0529538993943888
PRD-00000142,USR-00055,tarjeta_credito_hey,2025-11-05,activo,52000.0,13598.0,0.2615,37.52,,,2025-10-03,171,204,0.2615,1,
PRD-00000145,USR-00056,tarjeta_credito_hey,2025-07-05,activo,97000.0,25966.9,0.2677,31.42,,,2025-09-28,294,209,0.2677,1,
PRD-00000148,USR-00057,tarjeta_credito_hey,2023-12-29,activo,122000.0,24936.8,0.2044,28.46,,,2025-10-31,848,176,0.2044,1,
PRD-00000149,USR-00057,credito_auto,2023-08-03,activo,178000.0,54770.6,0.3077,21.84,36.0,2087.18,2025-10-19,996,188,0.3077,1,0.038107670903733
PRD-00000151,USR-00058,tarjeta_credito_hey,2022-08-25,suspendido,105000.0,90048.0,0.8576,44.27,,,2025-11-09,1339,167,0.8576,1,
PRD-00000152,USR-00058,credito_personal,2024-11-23,activo,69000.0,62017.2,0.8988,45.58,24.0,3983.96,2025-09-22,518,215,0.8987999999999999,1,0.0642395980469934
PRD-00000155,USR-00060,tarjeta_credito_negocios,2022-04-30,activo,90000.0,13356.0,0.1484,36.72,,,2025-11-13,1456,163,0.1484,1,
PRD-00000156,USR-00060,credito_personal,2021-03-19,activo,50000.0,12730.0,0.2546,42.39,18.0,967.75,2025-09-27,1863,210,0.2546,1,0.0760212097407698
PRD-00000160,USR-00062,tarjeta_credito_hey,2025-07-05,activo,109000.0,77520.8,0.7112,31.7,,,2025-10-23,294,184,0.7112,1,
PRD-00000161,USR-00062,credito_personal,2025-11-08,activo,90000.0,81144.0,0.9016,52.16,18.0,6591.74,2025-09-16,168,221,0.9016,1,0.0812350882381938
PRD-00000164,USR-00063,tarjeta_credito_hey,2025-09-29,activo,131000.0,11383.9,0.0869,38.38,,,2025-11-18,208,158,0.0868999999999999,1,
PRD-00000167,USR-00064,tarjeta_credito_garantizada,2022-03-23,revision_de_pagos,13000.0,11350.3,0.8731,60.8,,,2025-10-02,1494,205,0.8731,1,
PRD-00000168,USR-00064,credito_personal,2023-05-28,revision_de_pagos,82000.0,68355.2,0.8336,27.5,18.0,4677.19,2025-10-23,1063,184,0.8336,1,0.0684247869949908
PRD-00000170,USR-00065,tarjeta_credito_hey,2024-12-12,activo,84000.0,46250.4,0.5506,37.86,,,2025-10-12,499,195,0.5506,1,
PRD-00000172,USR-00066,credito_nomina,2024-10-16,activo,32000.0,16870.4,0.5272,19.82,24.0,857.15,2025-10-11,556,196,0.5272,1,0.0508079239377845
PRD-00000175,USR-00067,credito_personal,2023-08-19,suspendido,63000.0,55868.4,0.8868,47.29,12.0,5932.48,2025-11-20,980,156,0.8868,1,0.106186681558806
PRD-00000177,USR-00068,credito_nomina,2023-06-18,activo,53000.0,18269.1,0.3447,30.9,6.0,3325.08,2025-09-15,1042,222,0.3446999999999999,1,0.1820056817248797
PRD-00000180,USR-00069,tarjeta_credito_negocios,2024-12-21,activo,392000.0,201135.2,0.5131,51.89,,,2025-09-21,490,216,0.5131,1,
PRD-00000181,USR-00069,credito_auto,2025-04-16,activo,111000.0,33777.3,0.3043,23.83,36.0,1322.17,2025-11-13,374,163,0.3043,1,0.0391437444674381
PRD-00000183,USR-00070,tarjeta_credito_hey,2022-06-19,activo,21000.0,17037.3,0.8113,36.11,,,2025-11-05,1406,171,0.8112999999999999,1,
PRD-00000186,USR-00072,credito_nomina,2024-04-21,activo,53000.0,27772.0,0.524,21.3,6.0,4920.44,2025-09-11,734,226,0.524,1,0.1771726919199193
PRD-00000190,USR-00073,tarjeta_credito_hey,2025-01-30,activo,17000.0,4775.3,0.2809,46.42,,,2025-11-15,450,161,0.2809,1,
PRD-00000191,USR-00073,credito_auto,2025-01-23,activo,376000.0,96895.2,0.2577,20.61,24.0,4960.48,2025-10-05,457,202,0.2577,1,0.0511942800056143
PRD-00000195,USR-00075,tarjeta_credito_negocios,2022-10-13,activo,191000.0,59572.9,0.3119,41.73,,,2025-09-20,1290,217,0.3119,1,
PRD-00000197,USR-00076,tarjeta_credito_hey,2025-03-09,activo,59000.0,33429.4,0.5666,33.22,,,2025-09-21,412,216,0.5666,1,
PRD-00000200,USR-00077,tarjeta_credito_hey,2022-09-19,activo,147000.0,26695.2,0.1816,33.37,,,2025-09-08,1314,229,0.1816,1,
PRD-00000204,USR-00078,tarjeta_credito_negocios,2024-02-16,activo,207000.0,40240.8,0.1944,42.94,,,2025-10-15,799,192,0.1944,1,
PRD-00000207,USR-00080,tarjeta_credito_hey,2024-03-09,revision_de_pagos,63000.0,60341.4,0.9578,46.0,,,2025-08-31,777,237,0.9578,1,
PRD-00000208,USR-00080,credito_personal,2024-06-11,revision_de_pagos,66000.0,44952.6,0.6811,46.84,24.0,2919.19,2025-10-25,683,182,0.6810999999999999,1,0.0649392916093841
